collection_id,provenance,message,language,expected_module,expected_intent,predicted_intent,reply,prediction_correct,reply_safe_and_useful,accepted_for_training,source_session_id,notes
WA-0001,field_collected_scripted,mera bhai TEST-FIR [FIR] section 302 me 2 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 2 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,6a53598b-5c09-4717-9791-0b99b16b1a58,
WA-0002,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0003,field_collected_scripted,mera bhai TEST-FIR [FIR] section 379 me 4 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused appears eligible for bail under BNSS Section 478. Reason: Bailable offence — bail is a right. Your bail application PDF is ready. Please download and give to your advocate.,pending_review,pending_review,no,014f76ab-7335-4e79-ae3c-f44542dea2fd,
WA-0004,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0005,field_collected_scripted,mera bhai TEST-FIR [FIR] section 498A me 8 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 8 months. Need 12 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,369138b4-07c2-4b07-996b-311d373ec2b4,
WA-0006,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0007,field_collected_scripted,mera bhai TEST-FIR [FIR] section 302 me 3 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 3 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,2f868041-2cd2-47dc-9381-ebf65e04a96f,
WA-0008,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0010,field_collected_scripted,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,pending_review,pending_review,no,5e1a35a0-b0c1-49c0-b4e3-4473d0bb0e10,
WA-0011,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0012,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0013,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0014,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0015,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0016,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0017,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0018,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0019,field_collected_scripted,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,57af3cf3-6c87-4d74-a39b-129273e22808,
WA-0020,field_collected_scripted,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",pending_review,pending_review,no,18c1325f-fefa-4b1f-bd91-8117f51ccdec,
WA-0021,field_collected_scripted,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,c1df6048-ea9d-4277-93cf-48cc7c283ebe,
WA-0022,field_collected_scripted,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,9de1cd5d-f282-4d66-baee-3210a782a6e7,
WA-0023,field_collected_scripted,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,328189d6-4861-4f81-b57f-e52353316b41,
WA-0024,field_collected_scripted,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,9de1cd5d-f282-4d66-baee-3210a782a6e7,
WA-0025,field_collected_scripted,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,92d57864-c49f-43b3-8daa-461fdf948225,
WA-0026,field_collected_scripted,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,9de1cd5d-f282-4d66-baee-3210a782a6e7,
WA-0028,field_collected_scripted,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,9de1cd5d-f282-4d66-baee-3210a782a6e7,
WA-0030,field_collected_scripted,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,pending_review,pending_review,no,9de1cd5d-f282-4d66-baee-3210a782a6e7,
WA-0031,field_collected_scripted,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,250d23df-35a0-403b-81f2-2875bfa8f0df,
WA-0032,field_collected_scripted,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,d510a462-618b-43cf-98d7-0bcf7db91727,
WA-0033,field_collected_scripted,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,250d23df-35a0-403b-81f2-2875bfa8f0df,
WA-0034,field_collected_scripted,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,d510a462-618b-43cf-98d7-0bcf7db91727,
WA-0035,field_collected_scripted,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,250d23df-35a0-403b-81f2-2875bfa8f0df,
WA-0036,field_collected_scripted,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,d510a462-618b-43cf-98d7-0bcf7db91727,
WA-0037,field_collected_scripted,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,250d23df-35a0-403b-81f2-2875bfa8f0df,
WA-0038,field_collected_scripted,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,d510a462-618b-43cf-98d7-0bcf7db91727,
WA-0039,field_collected_scripted,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,250d23df-35a0-403b-81f2-2875bfa8f0df,
WA-0040,field_collected_scripted,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",pending_review,pending_review,no,d510a462-618b-43cf-98d7-0bcf7db91727,
WA-0041,field_collected_scripted,company ne 2 mahine ki salary nahi di attendance aur bank statement available hai,id,legal_aid,labour_dispute,labour_dispute,"This looks like a labour or salary dispute. Keep salary slips, appointment letter, bank statements, attendance records, and WhatsApp/email promises. You can file a complaint with the Labour Commissioner or District Legal Services Authority for free legal help.",pending_review,pending_review,no,62f1380e-c4f9-40c4-8863-b3eaad27204a,
WA-0042,field_collected_scripted,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",pending_review,pending_review,no,49060842-d6bc-4980-b6d1-e2f6ffd4d16c,
WA-0043,field_collected_scripted,company ne 4 mahine ki salary nahi di attendance aur bank statement available hai,id,legal_aid,labour_dispute,labour_dispute,"This looks like a labour or salary dispute. Keep salary slips, appointment letter, bank statements, attendance records, and WhatsApp/email promises. You can file a complaint with the Labour Commissioner or District Legal Services Authority for free legal help.",pending_review,pending_review,no,40f65a28-82b2-4414-9992-e8fd047d8f25,
WA-0044,field_collected_scripted,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",pending_review,pending_review,no,49060842-d6bc-4980-b6d1-e2f6ffd4d16c,
WA-0046,field_collected_scripted,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",pending_review,pending_review,no,49060842-d6bc-4980-b6d1-e2f6ffd4d16c,
WA-0048,field_collected_scripted,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",pending_review,pending_review,no,49060842-d6bc-4980-b6d1-e2f6ffd4d16c,
WA-0050,field_collected_scripted,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",pending_review,pending_review,no,49060842-d6bc-4980-b6d1-e2f6ffd4d16c,
WA-0051,field_collected_scripted,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,id,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,9d29f496-768d-43a5-befd-1cf096e47524,
WA-0052,field_collected_scripted,Owner threatened to disconnect electricity unless the tenant leaves today,en,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,da9d5b4d-35bd-4e9f-8f3e-a5022a68d2bb,
WA-0053,field_collected_scripted,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,id,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,9d29f496-768d-43a5-befd-1cf096e47524,
WA-0054,field_collected_scripted,Owner threatened to disconnect electricity unless the tenant leaves today,en,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,da9d5b4d-35bd-4e9f-8f3e-a5022a68d2bb,
WA-0055,field_collected_scripted,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,id,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,9d29f496-768d-43a5-befd-1cf096e47524,
WA-0056,field_collected_scripted,Owner threatened to disconnect electricity unless the tenant leaves today,en,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,da9d5b4d-35bd-4e9f-8f3e-a5022a68d2bb,
WA-0057,field_collected_scripted,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,id,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,9d29f496-768d-43a5-befd-1cf096e47524,
WA-0058,field_collected_scripted,Owner threatened to disconnect electricity unless the tenant leaves today,en,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,da9d5b4d-35bd-4e9f-8f3e-a5022a68d2bb,
WA-0059,field_collected_scripted,landlord bina written notice ghar khali karwa raha aur deposit nahi de raha,id,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,9d29f496-768d-43a5-befd-1cf096e47524,
WA-0060,field_collected_scripted,Owner threatened to disconnect electricity unless the tenant leaves today,en,legal_aid,tenant_housing,tenant_housing,"This looks like a tenant or housing issue. Do not leave only on verbal pressure. Save rent receipts, agreement, notices, and messages. Ask for written notice and contact local legal aid or the rent authority/civil court process in your district.",pending_review,pending_review,no,da9d5b4d-35bd-4e9f-8f3e-a5022a68d2bb,
WA-0061,field_collected_scripted,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,fr,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,ed819612-3f30-4879-b5c5-75aa492b7902,
WA-0062,field_collected_scripted,OTP scam ke baad bank se paisa debit hua FIR [FIR] emergency step kya hai,id,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,4599234b-f692-4397-baf3-91c18c097f24,
WA-0064,field_collected_scripted,OTP scam ke baad bank se paisa debit hua FIR [FIR] emergency step kya hai,id,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,4599234b-f692-4397-baf3-91c18c097f24,
WA-0065,field_collected_scripted,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,fr,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,ed819612-3f30-4879-b5c5-75aa492b7902,
WA-0066,field_collected_scripted,OTP scam ke baad bank se paisa debit hua FIR [FIR] emergency step kya hai,id,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,4599234b-f692-4397-baf3-91c18c097f24,
WA-0068,field_collected_scripted,OTP scam ke baad bank se paisa debit hua FIR [FIR] emergency step kya hai,id,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,4599234b-f692-4397-baf3-91c18c097f24,
WA-0069,field_collected_scripted,UPI fraud me 18000 rupees gaye transaction ID aur screenshot available hai,fr,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,ed819612-3f30-4879-b5c5-75aa492b7902,
WA-0070,field_collected_scripted,OTP scam ke baad bank se paisa debit hua FIR [FIR] emergency step kya hai,id,legal_aid,cyber_fraud,cyber_fraud,"This looks like a cyber fraud complaint. Immediately call 1930, file a report at cybercrime.gov.in, save transaction IDs, screenshots, bank messages, UPI IDs, phone numbers, and request your bank to freeze or dispute the transaction.",pending_review,pending_review,no,4599234b-f692-4397-baf3-91c18c097f24,
