collection_id,provenance,language_code,expected_intent,message,fluent_reviewer,natural_language_score_1_to_5,intent_correct,corrected_message,review_notes
NATIVE-0001,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 1,,,,,
NATIVE-0002,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 1",,,,,
NATIVE-0003,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 1,,,,,
NATIVE-0004,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 1,,,,,
NATIVE-0005,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 2,,,,,
NATIVE-0006,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 2",,,,,
NATIVE-0007,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 2,,,,,
NATIVE-0008,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 2,,,,,
NATIVE-0009,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 3,,,,,
NATIVE-0010,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 3",,,,,
NATIVE-0011,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 3,,,,,
NATIVE-0012,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 3,,,,,
NATIVE-0013,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 4,,,,,
NATIVE-0014,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 4",,,,,
NATIVE-0015,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 4,,,,,
NATIVE-0016,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 4,,,,,
NATIVE-0017,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 5,,,,,
NATIVE-0018,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 5",,,,,
NATIVE-0019,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 5,,,,,
NATIVE-0020,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 5,,,,,
NATIVE-0021,native_script_review,mr,labour_dispute,माझा तीन महिन्यांचा पगार मिळाला नाही. कामाचे पुरावे माझ्याकडे आहेत. परीक्षण उदाहरण 1,,,,,
NATIVE-0022,native_script_review,mr,domicile_certificate,महाविद्यालयासाठी रहिवासी दाखल्याचा अर्ज तयार करायचा आहे. परीक्षण उदाहरण 1,,,,,
NATIVE-0023,native_script_review,mr,surety_bond,जामिनासाठी हमीदाराची कागदपत्रे आणि मालमत्तेचा पुरावा तपासायचा आहे. परीक्षण उदाहरण 1,,,,,
NATIVE-0024,native_script_review,mr,labour_dispute,माझा तीन महिन्यांचा पगार मिळाला नाही. कामाचे पुरावे माझ्याकडे आहेत. परीक्षण उदाहरण 2,,,,,
NATIVE-0025,native_script_review,mr,domicile_certificate,महाविद्यालयासाठी रहिवासी दाखल्याचा अर्ज तयार करायचा आहे. परीक्षण उदाहरण 2,,,,,
NATIVE-0026,native_script_review,mr,surety_bond,जामिनासाठी हमीदाराची कागदपत्रे आणि मालमत्तेचा पुरावा तपासायचा आहे. परीक्षण उदाहरण 2,,,,,
NATIVE-0027,native_script_review,mr,labour_dispute,माझा तीन महिन्यांचा पगार मिळाला नाही. कामाचे पुरावे माझ्याकडे आहेत. परीक्षण उदाहरण 3,,,,,
NATIVE-0028,native_script_review,mr,domicile_certificate,महाविद्यालयासाठी रहिवासी दाखल्याचा अर्ज तयार करायचा आहे. परीक्षण उदाहरण 3,,,,,
NATIVE-0029,native_script_review,mr,surety_bond,जामिनासाठी हमीदाराची कागदपत्रे आणि मालमत्तेचा पुरावा तपासायचा आहे. परीक्षण उदाहरण 3,,,,,
NATIVE-0030,native_script_review,mr,labour_dispute,माझा तीन महिन्यांचा पगार मिळाला नाही. कामाचे पुरावे माझ्याकडे आहेत. परीक्षण उदाहरण 4,,,,,
NATIVE-0031,native_script_review,mr,domicile_certificate,महाविद्यालयासाठी रहिवासी दाखल्याचा अर्ज तयार करायचा आहे. परीक्षण उदाहरण 4,,,,,
NATIVE-0032,native_script_review,mr,surety_bond,जामिनासाठी हमीदाराची कागदपत्रे आणि मालमत्तेचा पुरावा तपासायचा आहे. परीक्षण उदाहरण 4,,,,,
NATIVE-0033,native_script_review,mr,labour_dispute,माझा तीन महिन्यांचा पगार मिळाला नाही. कामाचे पुरावे माझ्याकडे आहेत. परीक्षण उदाहरण 5,,,,,
NATIVE-0034,native_script_review,mr,domicile_certificate,महाविद्यालयासाठी रहिवासी दाखल्याचा अर्ज तयार करायचा आहे. परीक्षण उदाहरण 5,,,,,
NATIVE-0035,native_script_review,mr,surety_bond,जामिनासाठी हमीदाराची कागदपत्रे आणि मालमत्तेचा पुरावा तपासायचा आहे. परीक्षण उदाहरण 5,,,,,
NATIVE-0036,native_script_review,ta,cyber_fraud,யுபிஐ மோசடியில் பணம் போய்விட்டது. பரிவர்த்தனை எண் என்னிடம் உள்ளது. Test 1,,,,,
NATIVE-0037,native_script_review,ta,income_certificate,உதவித்தொகைக்காக வருமானச் சான்றிதழ் விண்ணப்பம் தயாரிக்க வேண்டும். Test 1,,,,,
NATIVE-0038,native_script_review,ta,legal_rights,கைது செய்யப்பட்ட பிறகு வழக்கறிஞரை அணுகும் உரிமை என்ன? Test 1,,,,,
NATIVE-0039,native_script_review,ta,cyber_fraud,யுபிஐ மோசடியில் பணம் போய்விட்டது. பரிவர்த்தனை எண் என்னிடம் உள்ளது. Test 2,,,,,
NATIVE-0040,native_script_review,ta,income_certificate,உதவித்தொகைக்காக வருமானச் சான்றிதழ் விண்ணப்பம் தயாரிக்க வேண்டும். Test 2,,,,,
NATIVE-0041,native_script_review,ta,legal_rights,கைது செய்யப்பட்ட பிறகு வழக்கறிஞரை அணுகும் உரிமை என்ன? Test 2,,,,,
NATIVE-0042,native_script_review,ta,cyber_fraud,யுபிஐ மோசடியில் பணம் போய்விட்டது. பரிவர்த்தனை எண் என்னிடம் உள்ளது. Test 3,,,,,
NATIVE-0043,native_script_review,ta,income_certificate,உதவித்தொகைக்காக வருமானச் சான்றிதழ் விண்ணப்பம் தயாரிக்க வேண்டும். Test 3,,,,,
NATIVE-0044,native_script_review,ta,legal_rights,கைது செய்யப்பட்ட பிறகு வழக்கறிஞரை அணுகும் உரிமை என்ன? Test 3,,,,,
NATIVE-0045,native_script_review,ta,cyber_fraud,யுபிஐ மோசடியில் பணம் போய்விட்டது. பரிவர்த்தனை எண் என்னிடம் உள்ளது. Test 4,,,,,
NATIVE-0046,native_script_review,ta,income_certificate,உதவித்தொகைக்காக வருமானச் சான்றிதழ் விண்ணப்பம் தயாரிக்க வேண்டும். Test 4,,,,,
NATIVE-0047,native_script_review,ta,legal_rights,கைது செய்யப்பட்ட பிறகு வழக்கறிஞரை அணுகும் உரிமை என்ன? Test 4,,,,,
NATIVE-0048,native_script_review,ta,cyber_fraud,யுபிஐ மோசடியில் பணம் போய்விட்டது. பரிவர்த்தனை எண் என்னிடம் உள்ளது. Test 5,,,,,
NATIVE-0049,native_script_review,ta,income_certificate,உதவித்தொகைக்காக வருமானச் சான்றிதழ் விண்ணப்பம் தயாரிக்க வேண்டும். Test 5,,,,,
NATIVE-0050,native_script_review,ta,legal_rights,கைது செய்யப்பட்ட பிறகு வழக்கறிஞரை அணுகும் உரிமை என்ன? Test 5,,,,,
NATIVE-0051,native_script_review,te,disability_pension,వికలాంగుల పెన్షన్ దరఖాస్తుకు కావలసిన పత్రాలు ఏవి? Test 1,,,,,
NATIVE-0052,native_script_review,te,case_status,ఎఫ్ఐఆర్ నంబర్ ఉంది. కేసు స్థితి మరియు తదుపరి తేదీ ఎలా తెలుసుకోవాలి? Test 1,,,,,
NATIVE-0053,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 1,,,,,
NATIVE-0054,native_script_review,te,disability_pension,వికలాంగుల పెన్షన్ దరఖాస్తుకు కావలసిన పత్రాలు ఏవి? Test 2,,,,,
NATIVE-0055,native_script_review,te,case_status,ఎఫ్ఐఆర్ నంబర్ ఉంది. కేసు స్థితి మరియు తదుపరి తేదీ ఎలా తెలుసుకోవాలి? Test 2,,,,,
NATIVE-0056,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 2,,,,,
NATIVE-0057,native_script_review,te,disability_pension,వికలాంగుల పెన్షన్ దరఖాస్తుకు కావలసిన పత్రాలు ఏవి? Test 3,,,,,
NATIVE-0058,native_script_review,te,case_status,ఎఫ్ఐఆర్ నంబర్ ఉంది. కేసు స్థితి మరియు తదుపరి తేదీ ఎలా తెలుసుకోవాలి? Test 3,,,,,
NATIVE-0059,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 3,,,,,
NATIVE-0060,native_script_review,te,disability_pension,వికలాంగుల పెన్షన్ దరఖాస్తుకు కావలసిన పత్రాలు ఏవి? Test 4,,,,,
NATIVE-0061,native_script_review,te,case_status,ఎఫ్ఐఆర్ నంబర్ ఉంది. కేసు స్థితి మరియు తదుపరి తేదీ ఎలా తెలుసుకోవాలి? Test 4,,,,,
NATIVE-0062,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 4,,,,,
NATIVE-0063,native_script_review,te,disability_pension,వికలాంగుల పెన్షన్ దరఖాస్తుకు కావలసిన పత్రాలు ఏవి? Test 5,,,,,
NATIVE-0064,native_script_review,te,case_status,ఎఫ్ఐఆర్ నంబర్ ఉంది. కేసు స్థితి మరియు తదుపరి తేదీ ఎలా తెలుసుకోవాలి? Test 5,,,,,
NATIVE-0065,native_script_review,te,tenant_housing,ఇంటి యజమాని నోటీసు లేకుండా ఖాళీ చేయమంటున్నారు. Test 5,,,,,
NATIVE-0066,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 1,,,,,
NATIVE-0067,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 1,,,,,
NATIVE-0068,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 1,,,,,
NATIVE-0069,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 2,,,,,
NATIVE-0070,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 2,,,,,
NATIVE-0071,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 2,,,,,
NATIVE-0072,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 3,,,,,
NATIVE-0073,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 3,,,,,
NATIVE-0074,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 3,,,,,
NATIVE-0075,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 4,,,,,
NATIVE-0076,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 4,,,,,
NATIVE-0077,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 4,,,,,
NATIVE-0078,native_script_review,bn,legal_aid_application,আমি বিনামূল্যে আইনি সহায়তার জন্য আবেদন করতে চাই। Test 5,,,,,
NATIVE-0079,native_script_review,bn,caste_certificate,জাতি শংসাপত্রের আবেদনের জন্য পারিবারিক প্রমাণ যাচাই করতে হবে। Test 5,,,,,
NATIVE-0080,native_script_review,bn,zero_fir,পুলিশ অভিযোগ নিতে অস্বীকার করছে কারণ ঘটনাটি অন্য এলাকায় ঘটেছে। Test 5,,,,,
NATIVE-0081,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 1,,,,,
NATIVE-0082,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 1,,,,,
NATIVE-0083,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 1,,,,,
NATIVE-0084,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 2,,,,,
NATIVE-0085,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 2,,,,,
NATIVE-0086,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 2,,,,,
NATIVE-0087,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 3,,,,,
NATIVE-0088,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 3,,,,,
NATIVE-0089,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 3,,,,,
NATIVE-0090,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 4,,,,,
NATIVE-0091,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 4,,,,,
NATIVE-0092,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 4,,,,,
NATIVE-0093,native_script_review,gu,income_certificate,શિષ્યવૃત્તિ માટે આવકના પ્રમાણપત્રની અરજી તૈયાર કરવી છે. Test 5,,,,,
NATIVE-0094,native_script_review,gu,labour_dispute,મારો ત્રણ મહિનાનો પગાર મળ્યો નથી અને પુરાવા ઉપલબ્ધ છે. Test 5,,,,,
NATIVE-0095,native_script_review,gu,domicile_certificate,રહેઠાણના પ્રમાણપત્ર માટે સરનામાના પુરાવા તપાસવા છે. Test 5,,,,,
NATIVE-0096,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 1 Review variant 96,,,,,
NATIVE-0097,native_script_review,hi,cyber_fraud,"यूपीआई धोखाधड़ी में पैसे चले गए हैं। ट्रांजैक्शन नंबर मेरे पास है, अब क्या करूं? परीक्षण उदाहरण 1 Review variant 97",,,,,
NATIVE-0098,native_script_review,hi,income_certificate,छात्रवृत्ति के लिए आय प्रमाण पत्र का आवेदन तैयार करना है। परीक्षण उदाहरण 1 Review variant 98,,,,,
NATIVE-0099,native_script_review,hi,domestic_violence,मेरी बहन को घरेलू हिंसा से सुरक्षा और मुफ्त कानूनी सहायता चाहिए। परीक्षण उदाहरण 1 Review variant 99,,,,,
NATIVE-0100,native_script_review,hi,bail_enquiry,मेरे भाई को धारा 420 में गिरफ्तार किया गया है। जमानत के लिए कौन से दस्तावेज चाहिए? परीक्षण उदाहरण 2 Review variant 100,,,,,
