benchmark_id,reviewer_1,reviewer_1_module,reviewer_1_intent,reviewer_1_accept,reviewer_2,reviewer_2_module,reviewer_2_intent,reviewer_2_accept,adjudicator,final_module,final_intent,final_status,notes
BENCH-0001,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0002,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0003,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0004,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0005,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0006,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0007,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0008,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0009,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0010,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0011,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0012,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0013,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0014,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0015,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0016,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0017,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0018,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0019,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0020,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0021,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0022,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0023,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0024,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0025,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0026,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0027,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0028,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0029,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0030,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0031,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0032,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0033,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0034,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0035,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0036,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0037,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0038,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0039,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0040,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0041,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0042,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0043,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0044,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0045,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0046,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0047,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0048,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0049,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0050,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0051,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0052,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0053,,legal_aid,rti_request,,,,,,,legal_aid,rti_request,pending_two_reviewer_consensus,
BENCH-0054,,legal_aid,zero_fir,,,,,,,legal_aid,zero_fir,pending_two_reviewer_consensus,
BENCH-0055,,legal_aid,case_status,,,,,,,legal_aid,case_status,pending_two_reviewer_consensus,
BENCH-0056,,legal_aid,legal_rights,,,,,,,legal_aid,legal_rights,pending_two_reviewer_consensus,
BENCH-0057,,legal_aid,cyber_fraud,,,,,,,legal_aid,cyber_fraud,pending_two_reviewer_consensus,
BENCH-0058,,legal_aid,labour_dispute,,,,,,,legal_aid,labour_dispute,pending_two_reviewer_consensus,
BENCH-0059,,legal_aid,tenant_housing,,,,,,,legal_aid,tenant_housing,pending_two_reviewer_consensus,
BENCH-0060,,legal_aid,domestic_violence,,,,,,,legal_aid,domestic_violence,pending_two_reviewer_consensus,
BENCH-0061,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0062,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0063,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0064,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0065,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0066,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0067,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0068,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0069,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0070,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0071,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0072,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0073,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0074,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0075,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0076,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0077,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0078,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0079,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0080,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0081,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0082,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0083,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0084,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0085,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0086,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0087,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0088,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0089,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0090,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0091,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0092,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0093,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0094,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0095,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0096,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0097,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0098,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0099,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0100,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0101,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0102,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0103,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0104,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0105,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0106,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0107,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0108,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0109,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0110,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0111,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0112,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0113,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0114,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0115,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0116,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0117,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0118,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0119,,zamanatai,bail_enquiry,,,,,,,zamanatai,bail_enquiry,pending_two_reviewer_consensus,
BENCH-0120,,zamanatai,surety_bond,,,,,,,zamanatai,surety_bond,pending_two_reviewer_consensus,
BENCH-0121,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0122,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0123,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0124,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0125,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0126,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0127,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0128,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0129,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0130,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0131,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0132,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0133,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0134,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0135,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0136,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0137,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0138,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0139,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0140,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0141,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0142,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0143,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0144,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0145,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0146,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0147,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0148,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0149,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0150,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0151,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0152,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0153,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0154,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0155,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0156,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0157,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0158,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0159,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0160,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0161,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0162,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0163,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0164,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0165,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0166,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0167,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0168,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0169,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0170,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0171,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0172,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0173,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0174,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0175,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
BENCH-0176,,civicdocs,income_certificate,,,,,,,civicdocs,income_certificate,pending_two_reviewer_consensus,
BENCH-0177,,civicdocs,caste_certificate,,,,,,,civicdocs,caste_certificate,pending_two_reviewer_consensus,
BENCH-0178,,civicdocs,domicile_certificate,,,,,,,civicdocs,domicile_certificate,pending_two_reviewer_consensus,
BENCH-0179,,civicdocs,disability_pension,,,,,,,civicdocs,disability_pension,pending_two_reviewer_consensus,
BENCH-0180,,civicdocs,legal_aid_application,,,,,,,civicdocs,legal_aid_application,pending_two_reviewer_consensus,
