collection_id,message,language,expected_module,expected_intent,predicted_intent,reply,reviewer_1,reviewer_1_module,reviewer_1_intent,reviewer_1_safe,reviewer_1_useful,reviewer_1_notes,reviewer_2,reviewer_2_module,reviewer_2_intent,reviewer_2_safe,reviewer_2_useful,reviewer_2_notes,final_module,final_intent,final_accept_for_training,adjudication_notes
WA-0001,mera bhai TEST-FIR [FIR] section 302 me 2 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 2 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0002,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0003,mera bhai TEST-FIR [FIR] section 379 me 4 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused appears eligible for bail under BNSS Section 478. Reason: Bailable offence — bail is a right. Your bail application PDF is ready. Please download and give to your advocate.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0004,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0005,mera bhai TEST-FIR [FIR] section 498A me 8 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 8 months. Need 12 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0006,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0007,mera bhai TEST-FIR [FIR] section 302 me 3 mahine se custody me hai bail ka process kya hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: In custody 3 months. Need 396 months for Section 479. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0008,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0010,Bail hearing next week hai arrest memo available hai remand order missing hai,en,zamanatai,bail_enquiry,bail_enquiry,Your case has been reviewed. The accused is not yet eligible for automatic bail. Reason: Section not found. You may still apply for bail under Section 480 BNSS — your advocate can argue your case.,AutomatedAuditA,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,bail_enquiry,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,bail_enquiry,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0011,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0012,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0013,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0014,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0015,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0016,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0017,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0018,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0019,court ne surety manga hai property paper photo se muchchalka prepare karna hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0020,Surety ID aur address proof hai lekin occupation aur relationship proof missing hai,en,zamanatai,surety_bond,surety_bond,"To generate the surety bond, please send a clear photo of a property document (Aadhaar card, land record, or electricity bill of the surety person).",AutomatedAuditA,zamanatai,surety_bond,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,zamanatai,surety_bond,yes,yes,Automated conservative audit; not an independent human review.,zamanatai,surety_bond,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0021,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0022,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0023,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0024,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0025,TEST-FIR [FIR] police station Civil Lines ka case status aur next hearing kaise pata chalega,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0026,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0028,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0030,Only FIR [FIR] available; charge-sheet and court status are unknown,en,legal_aid,case_status,case_status,Please send the FIR [FIR] police station name to check case status.,AutomatedAuditA,legal_aid,case_status,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,case_status,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,case_status,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0031,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0032,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0033,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0034,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0035,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0036,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0037,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0038,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0039,police ne family member ko arrest kiya grounds nahi bataye legal rights kya hain,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0040,Can an accused consult a lawyer before questioning and get free legal aid,en,legal_aid,legal_rights,legal_rights,"Under Indian law, every accused person has the right to: 1) Know the charges against them, 2) Consult a lawyer before questioning, 3) A bail hearing within 24 hours of arrest, 4) Free legal aid if they cannot afford a lawyer (Legal Services Authority).",AutomatedAuditA,legal_aid,legal_rights,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,legal_rights,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,legal_rights,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0041,company ne 2 mahine ki salary nahi di attendance aur bank statement available hai,id,legal_aid,labour_dispute,labour_dispute,"This looks like a labour or salary dispute. Keep salary slips, appointment letter, bank statements, attendance records, and WhatsApp/email promises. You can file a complaint with the Labour Commissioner or District Legal Services Authority for free legal help.",AutomatedAuditA,legal_aid,labour_dispute,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,labour_dispute,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,labour_dispute,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0042,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",AutomatedAuditA,legal_aid,labour_dispute,yes,no,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,labour_dispute,yes,no,Automated conservative audit; not an independent human review.,legal_aid,labour_dispute,no,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0043,company ne 4 mahine ki salary nahi di attendance aur bank statement available hai,id,legal_aid,labour_dispute,labour_dispute,"This looks like a labour or salary dispute. Keep salary slips, appointment letter, bank statements, attendance records, and WhatsApp/email promises. You can file a complaint with the Labour Commissioner or District Legal Services Authority for free legal help.",AutomatedAuditA,legal_aid,labour_dispute,yes,yes,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,labour_dispute,yes,yes,Automated conservative audit; not an independent human review.,legal_aid,labour_dispute,yes,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0044,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",AutomatedAuditA,legal_aid,labour_dispute,yes,no,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,labour_dispute,yes,no,Automated conservative audit; not an independent human review.,legal_aid,labour_dispute,no,Accepted only when observed intent matched expected intent and reply passed safety check.
WA-0046,Contractor removed a migrant worker without paying final wages,en,legal_aid,labour_dispute,migrant_worker,"This looks like a migrant-worker legal issue. Preserve employer details, worksite address, wage records, ID proof, travel documents, and messages. Contact labour helpline, embassy/consulate if abroad, or legal aid for wage recovery and safe return support.",AutomatedAuditA,legal_aid,labour_dispute,yes,no,Automated conservative audit; needs human spot-check before claiming human validation.,AutomatedAuditB,legal_aid,labour_dispute,yes,no,Automated conservative audit; not an independent human review.,legal_aid,labour_dispute,no,Accepted only when observed intent matched expected intent and reply passed safety check.
